,Tgt_dmg_cog,Tgt_entry_bsp,Tgt_entry_twa,Tgt_entry_pitch,Tgt_entry_heel,Tgt_entry_mainsheet,Tgt_entry_traveller,Tgt_exit_bsp,Tgt_exit_twa,Tgt_exit_pitch,Tgt_exit_heel,Tgt_exit_mainsheet,Tgt_exit_traveller,Tgt_drop_start,Tgt_max_yaw_rate
7.0,155.3,29.4,125.0,-2.9,-2.3,2.4,1.2,20.4,120.4,-2.4,-3.1,1.7,1.3,1.5,26.9
8.0,189.8,30.2,141.1,-2.4,-1.3,2.4,1.9,23.9,122.4,-1.9,-2.3,2.0,3.6,-0.6,19.3
9.0,220.9,30.65,151.05,-2.3499999999999996,-1.0,2.4,1.45,26.45,129.0,-2.1,-1.5,2.1,4.5,0.09999999999999998,18.2
10.0,245.9,31.3,155.3,-2.5,-1.1,2.4,0.7,28.2,136.7,-2.5,-0.8,2.1,4.3,2.1,21.0
13.0,277.9,35.6,150.0,-2.7,-1.9,2.3,1.3,31.0,143.1,-2.7,-0.1,1.8,3.4,4.0,26.4
14.0,287.9,43.3,142.4,-1.6,-1.5,2.3,6.6,34.4,127.3,-0.7,-0.8,1.7,5.3,-3.0,16.5
