TWS;BSP;TWA;Heel;FoilCant;Cant Drop Tgt;Sink;Sink Drop Tgt;Pitch;MainSheet;MainCunninghamLoad_kg;Link angle;Outhaul;JibSheetLoad_kg;JibCunninghamLoad_kg;Jib lead
;;;;;;;;;;;;;;;
6;26;108;-3;54;52;-0.75;-0.95;-3;2.2;0.2;16;100;0.7;0.4;9
8;27;128;-3;55;53;-0.75;-0.95;-2.5;2.4;0.4;18;100;0.8;0.5;9
10;30;137.6;-3;57;55;-0.75;-0.95;-2.5;2.7;0.4;18;90;0.8;0.9;9
12;33;142;-3;58;56;-0.75;-0.95;-2;2.9;0.5;20;80;0.9;0.9;10
14;36;146;-2;59;57;-0.75;-0.95;-2;3;0.8;20;75;1;1;10
16;40;148;-1;60;58;-0.75;-0.95;-1.5;3.3;1;20;50;1;1;11
18;42;150;0;60;58;-0.75;-0.95;-1;3.6;1;22;50;1;1;12
